term,parent,translation,language,tags,status,link_status
mi,,"me, I",,"pron, lem",,
mise,mi,,,,,
thu,,,,"pron, lem",,
tu,thu,,,,,
thusa,thu,,,,,
tusa,thu,,,,,
e,,,,"pron, lem",,
esan,e,,,,,
i,,,,"pron, lem",,
ise,i,,,,,
sinn,,"we, us (first person plural)",,"pron, lem",,
sinne,sinn,,,,,
sibh,,,,,,
sibhse,sibh,,,,,
iad,,,,,,
iadsan,iad,,,,,
,,,,,,
mo,,,,"pron, lem",,
do,,,,"pron, prep, part, lem",,
a,,,,,,
a h-,a,,,,,
ar,,,,,,
ar n-,ar,,,,,
ur,,,,,,
ur n-,ur,,,,,
an,,,,,,
,,,,,,
an,,,,,,
am,an,,,,,
a',an,,,,,
an t-,an,,,,,
na,an,,,,,
na h-,an,,,,,
nan,an,,,,,
nam,an,,,,,